SPY,GLD,VIX,TLT,TNX,UUP,FXE,USO
154.5,153.23,13.53,116.86,1.94,22.49,128.86,32.54
154.29,152.38,13.48,117.93,1.89,22.4,129.35,32.69
152.92,152.3,14.01,118.27,1.88,22.43,129.13,32.4
152.11,152.44,15.36,118.9,1.85,22.44,129.17,32.74
151.61,153,15.51,118.51,1.89,22.37,129.49,33.06
151.91,154.57,14.73,118.29,1.9,22.25,130.33,33.4
150.02,156.22,16.87,118.64,1.88,22.34,129.57,33.33
149,154.34,18.99,119.33,1.89,22.32,129.55,33.21
151.89,152.97,14.17,117.03,1.97,22.23,130.8,33.6
150.42,152.62,15.22,116.95,1.98,22.22,130.78,33.43
151.34,151.44,14.68,116.27,2.02,22.13,131.68,34.17
153.25,155.33,12.31,115.92,2.03,21.97,132.81,34.96
152.11,155.76,12.46,116.5,2.01,21.96,132.56,34.72
152.29,158.35,12.66,116.84,2,21.94,132.52,35.27
152.15,159.05,12.98,115.79,2.02,21.88,133.36,35.19
152.02,159.89,12.64,116.74,1.98,21.87,133.42,35.28
151.77,159.7,12.94,117.03,1.95,21.92,132.94,35.12
151.8,161.57,13.02,117.12,1.95,21.9,132.59,34.7
150.96,161.84,13.5,116.67,1.95,21.89,132.92,34.68
151.16,162.39,13.41,116.93,1.97,21.77,134.13,35.04
151.05,161.96,13.72,115.98,2.02,21.7,134.68,35.03
149.54,162,14.67,117.02,1.97,21.71,134.06,34.78
151.24,161.45,12.9,115.54,2.01,21.6,135.49,35.35
149.7,161.2,14.38,117.32,1.99,21.62,134.72,35.28
150.07,162.19,14.32,116.75,2.01,21.64,134.59,35.49
150.66,160.99,13.31,116.95,1.99,21.73,133.86,35.29
150.07,160.29,13.57,117.6,1.97,21.79,133.5,34.94
150.25,160.65,12.89,118.03,1.95,21.78,133.54,34.78
149.41,161.42,12.69,119.67,1.84,21.83,132.7,34.76
149.37,163.21,12.46,120.09,1.83,21.83,132.16,34.61
149.13,163.67,12.43,120.27,1.84,21.83,132.15,35.01
148.33,163.09,12.46,120.04,1.84,21.85,132.19,34.77
148,163.35,13.57,119.12,1.88,21.75,132.71,34.67
147.05,162.65,13.42,120.32,1.82,21.79,131.82,34.28
147.07,162.56,13.55,120.07,1.83,21.77,132.13,33.99
146.97,161.54,13.52,119.52,1.86,21.71,132.82,34.28
147.07,161.06,13.36,119.85,1.88,21.74,132.36,34.06
147.08,161.98,13.49,118.79,1.89,21.8,131.5,34.17
145.92,160.49,13.81,119.12,1.85,22.02,129.64,33.88
145.55,160.56,13.62,119.23,1.87,21.95,129.85,33.96
145.97,159.43,13.79,118.45,1.9,21.92,130.15,33.92
146.37,160.44,13.83,118.4,1.91,21.99,129.81,33.88
145.73,161.2,14.56,117.94,1.9,21.99,129.58,33.74
146.06,163.17,14.68,119.56,1.84,21.82,130.87,33.82
142.41,162.02,18.02,121.18,1.76,21.81,130.96,33.37
140.03,160.54,21.79,123.31,1.71,21.78,131.17,33.04
141.56,161.16,19.47,122.61,1.72,21.76,131.41,33.19
141.75,160.78,19.48,122.2,1.76,21.76,131.27,33.15
142.35,160.62,17.84,122.03,1.77,21.76,130.91,32.24
142.79,160.33,17.84,122.25,1.75,21.76,130.87,32.36
145.12,159.73,17.67,120.93,1.8,21.65,131.46,32.73
144.29,161.69,17.36,120.91,1.8,21.67,131.44,32.67
145.37,162.08,15.57,120.51,1.83,21.68,131.26,32.18
143.77,164.44,16.34,121.75,1.76,21.75,130.66,32.01
142.1,164.13,16.99,123.6,1.71,21.75,130.61,31.81
142.63,164.37,16.56,122.68,1.73,21.86,129.83,31.58
143.51,165.77,15.95,122.59,1.7,21.84,129.7,31.78
143.44,165.65,15.57,124.03,1.65,21.88,129.08,31.47
142.47,165.8,16.05,124.98,1.62,21.96,128.5,31.39
142.41,165.16,15.87,124.43,1.63,21.99,128.36,31.53
141.98,164.5,16.58,125.59,1.58,21.95,128.77,31.66
141.5,164.12,16.46,125.32,1.59,21.83,129.81,32.22
141.25,164.42,17.12,125.38,1.61,21.78,129.99,32.4
141.45,166.13,16.64,124.66,1.63,21.85,129.58,32.6
142.15,166.05,15.87,124.79,1.61,21.92,129.09,32.56
142.12,167.18,15.06,125.13,1.62,21.94,128.84,32.17
141.46,166.55,15.51,125.11,1.62,21.97,128.5,31.79
140.33,168.71,15.92,125.29,1.64,22.01,128.36,31.98
141.05,169.43,15.5,124.8,1.66,21.94,128.76,32.19
141.35,169.61,15.14,124.21,1.69,21.93,128.91,32.32
139.45,167.56,15.31,124.33,1.69,22.14,127.32,32.12
139.19,167.39,15.08,124.4,1.66,22.13,127.3,31.95
139.13,167.87,15.24,125.66,1.61,22.14,127.19,32.67
136.37,165.88,16.41,126.37,1.57,22.24,126.49,31.93
135.7,166.09,17.99,126.48,1.59,22.2,126.8,31.49
135.93,167.14,17.92,126.73,1.59,22.2,126.45,31.77
137.79,167.1,16.65,126.61,1.59,22.21,126.15,31.41
